Comparison	Gene	PVal	FDR	Log2FC	abs	Label	Paradigm
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	NDUFS5	2.81941930340282e-17	2.03154203421429e-15	0.401266742215136	0.401266742215136	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	DYNLL1	2.82782400570236e-17	2.03154203421429e-15	0.320825927728492	0.320825927728492	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	SRSF6	3.64080840120209e-17	2.60030368443749e-15	-0.286354295880541	0.286354295880541	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPS12	4.82966411713722e-17	3.42934231759284e-15	0.263984244679497	0.263984244679497	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	S100B	5.04753435520801e-17	3.56332584278355e-15	0.308618201193302	0.308618201193302	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPS3	5.11255087136991e-17	3.58848182712878e-15	0.178060422249604	0.178060422249604	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPL37	5.39503528675773e-17	3.76511805469555e-15	0.288701536922252	0.288701536922252	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	TOMM7	6.16244579775772e-17	4.27624718909176e-15	0.370905907880411	0.370905907880411	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	GAPDH	6.51441789919411e-17	4.49494835044393e-15	0.209847650556089	0.209847650556089	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPL19	9.93745791651206e-17	6.81832435586302e-15	0.259582316578839	0.259582316578839	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	PCDHGA10	1.03665469183862e-16	7.07299650917604e-15	-0.235769874629824	0.235769874629824	Young WT Isograft vs Young WT Ctr	Isograft
