TF	Target	Weight
CTCF	CDKN2D	1.63390635589078
CTCF	SIVA1	0.806315562717468
CTCF	ARHGAP5-AS1	0.425665496050924
CTCF	LINC01159	1.71146014272945
CTCF	NDUFS8	0.70285814592718
CTCF	NXT1	1.02706043482622
CTCF	PIN1	0.598618114718945
CTCF	PHF20	2.84726248235248
CTCF	PIN4	0.68108281024016
CTCF	TCEAL9	1.06744209033194
CTCF	RAB33B	1.34250334248569
CTCF	KHDRBS1	4.84317942066022
CTCF	HAUS1	1.4393386521019
CTCF	ZNRF1	1.07693567146935
CTCF	ERI3	1.42328552058302
CTCF	CKB	0.470710159700174
CTCF	RPS20	1.41091613266475
CTCF	CCSAP	2.11811860997929
CTCF	EFHD2	0.862217698446418
CTCF	PSIP1	1.43619812802871
CTCF	SUMO2	1.22856932898097
CTCF	RANGRF	1.16643805091356
CTCF	COPS3	0.515041300225394
CTCF	LHX2	4.40665067263323
CTCF	ACTR1B	1.25513497758644
CTCF	CMC2	2.41511308345561
CTCF	CNBP	0.555856413664192
CTCF	APOO	1.33383062858191
CTCF	FBXO5	4.13065804984287
CTCF	LYPD1	0.612734627752607
CTCF	CHST14	4.16412727864777
CTCF	KPNA2	2.33573533200123
CTCF	ZNF524	0.43397384131185
CTCF	TMPO	8.09624397744419
CTCF	RFC2	0.455180500935133
CTCF	PRTFDC1	1.58174841675188
CTCF	FLOT1	0.964844711899602
CTCF	C11orf58	0.800756940289703
CTCF	GDI2	1.08188903196447
CTCF	FUNDC1	1.30089296538307
CTCF	MFAP1	2.69693863948267
CTCF	KBTBD6	0.54263784776345
CTCF	SYN1	0.704105396873294
CTCF	NME4	1.427548855981
CTCF	PSRC1	1.00314008372399
CTCF	USP1	3.62074825129031
CTCF	MCFD2	0.766435683022873
CTCF	NT5DC1	0.471517562787591
CTCF	CTNNBIP1	3.73909077423801
CTCF	DEK	4.30476891142295
CTCF	LARP7	0.40691976220063
CTCF	SGTA	0.523979882478303
CTCF	NPM1	0.835979236020448
CTCF	AAMDC	1.42090353109024
CTCF	SNAP29	2.92469230195103
CTCF	OLA1	1.04108435693638
CTCF	PXDC1	0.955725652564318
CTCF	REEP4	1.1567242131955
CTCF	MRPL24	0.793842113195023
CTCF	TMEM60	0.539865062076916
CTCF	YIF1B	1.28303423149758
CTCF	PRPS2	0.800068380662066
